Opportunity ID,Account ID 18 Digits,Opportunity Owner,Amount (converted),Stage,Created Date,Close Date,Age,Lead Source,Employees,Industry,Market Segment,Reporting Manager,Territory,Month&Year,Created Month & Year
00606000012yw52,001060000229qi9AAA,AE 6,2330.45,Closed Won,7/26/2022,7/28/2022,2,Inbound,4,eCommerce,Growth,Director of Sales 2,EMEA,Jul 2022,Jul 2022
00606000012yoKH,00106000021fLWcAAM,Director of Sales 1,12250,Closed Won,7/8/2022,7/29/2022,21,Inbound,11,Financial Services,Growth,Director of Sales 1,APAC,Jul 2022,Jul 2022
00606000012yaRX,00106000021dPTtAAM,AE 8,3500,Closed Lost,6/21/2022,7/29/2022,38,Inbound,,Other,,Director of Sales 3,AMER,Jul 2022,Jun 2022
00606000012yQQT,00106000020w7lGAAQ,Director of Sales 1,9000,Closed Won,6/13/2022,7/30/2022,46,Partner Referral,684,Financial Services,Corporate,Director of Sales 1,APAC,Jul 2022,Jun 2022
00606000012yra8,00106000021fkFVAAY,AE 6,13146.1,Closed Won,7/14/2022,7/30/2022,16,Inbound,188,cosmetics,Corporate,Director of Sales 2,EMEA,Jul 2022,Jul 2022
00606000012y7x1,00106000020usAEAAY,AE 6,4182.85,Closed Lost,6/1/2022,7/30/2022,59,Inbound,,Agencies / Consultancies / Software Providers,,Director of Sales 2,EMEA,Jul 2022,Jun 2022
00606000012yrFP,00106000021fhrhAAA,AE 8,1000,Closed Lost,7/13/2022,8/2/2022,20,Inbound,,consumer goods,,Director of Sales 3,AMER,Aug 2022,Jul 2022
00606000012yPuS,00106000020vuTzAAI,AE 8,,Closed Lost,6/11/2022,8/5/2022,55,Inbound,,Financial Services,,Director of Sales 3,AMER,Aug 2022,Jun 2022
00606000012xGXD,0010600001xF7pjAAC,AE 5,4120.2,Closed Lost,3/24/2022,8/5/2022,134,Inbound,,Financial Services,,Director of Sales 2,EMEA,Aug 2022,Mar 2022
00606000012ybN7,00106000021dSrAAAU,AE 5,4708.8,Closed Lost,6/22/2022,8/6/2022,45,Inbound,,Apparel & Textile - Clothes,,Director of Sales 2,EMEA,Aug 2022,Jun 2022
00606000012xld1,00106000020sT6gAAE,AE 6,1177.2,Closed Lost,4/30/2022,8/9/2022,101,Inbound,,,,Director of Sales 2,EMEA,Aug 2022,Apr 2022
00606000012ya9d,00106000020vk4jAAA,AE 6,4120.2,Closed Lost,6/21/2022,8/9/2022,49,Inbound,,Mobility & Transportation,,Director of Sales 2,EMEA,Aug 2022,Jun 2022
00606000012xNcd,0010600001xG8MLAA0,AE 5,4000,Closed Lost,4/6/2022,8/9/2022,125,Inbound,,Food & Beverage - Delivery Services,,Director of Sales 2,EMEA,Aug 2022,Apr 2022
00606000012yWwM,00106000021clkkAAA,AE 4,9000,Closed Lost,6/16/2022,8/9/2022,54,Inbound,,Wellness & Fitness,,Director of Sales 2,EMEA,Aug 2022,Jun 2022
00606000012bC7m,0012400000mK9c4AAC,Executive 2,8829,Closed Lost,1/19/2022,8/9/2022,202,Employee Referral,,Arts & Entertainment,,IC,Other,Aug 2022,Jan 2022
00606000012xfeL,0010600001xHi6eAAC,CSM,1000,Closed Won,4/26/2022,8/10/2022,106,Inbound,16,Other Consumer Goods,Growth,IC,Other,Aug 2022,Apr 2022
00606000012yg4Z,00106000021ea0pAAA,AE 8,4000,Closed Lost,6/28/2022,8/11/2022,44,Inbound,,food & beverages,,Director of Sales 3,AMER,Aug 2022,Jun 2022
00606000012z1TC,00106000022B2nTAAS,AE 6,3531.6,Closed Won,8/10/2022,8/12/2022,2,Customer Referral,64,e-Commerce,Growth,Director of Sales 2,EMEA,Aug 2022,Aug 2022
00606000012ykVG,00106000021evaNAAQ,AE 8,12000.35,Closed Won,7/2/2022,8/17/2022,46,Inbound,864,"health, wellness & fitness",Corporate,Director of Sales 3,AMER,Aug 2022,Jul 2022
00606000012xuKo,00106000020tMFMAA2,AE 4,4708.8,Closed Lost,5/11/2022,8/17/2022,98,Inbound,,Other Consumer Goods,,Director of Sales 2,EMEA,Aug 2022,May 2022
00606000012ytsf,00124000014vJowAAE,AE 6,4120.2,Closed Lost,7/20/2022,8/19/2022,30,Inbound,,e-Commerce,,Director of Sales 2,EMEA,Aug 2022,Jul 2022
00606000012yA5D,00106000020v68zAAA,AE 5,1177.2,Closed Lost,6/4/2022,8/23/2022,80,Inbound,,Telecommunications,,Director of Sales 2,EMEA,Aug 2022,Jun 2022
00606000012z0I3,00106000022AcHGAA0,AE 1,2000,Closed Lost,8/6/2022,8/23/2022,17,Inbound,,,,Director of Sales 1,APAC,Aug 2022,Aug 2022
00606000012ywN6,001060000229so7AAA,Director of Sales 1,4000,Closed Lost,7/26/2022,8/23/2022,27,Inbound,,internet,,Director of Sales 1,APAC,Aug 2022,Jul 2022
00606000012ya1Z,00106000021dNPPAA2,AE 5,4000,Closed Lost,6/21/2022,8/23/2022,63,Inbound,,Financial Services,,Director of Sales 2,EMEA,Aug 2022,Jun 2022
00606000012xSde,0010600001xGfj6AAC,AE 5,2000,Closed Lost,4/13/2022,8/23/2022,132,Inbound,,Other,,Director of Sales 2,EMEA,Aug 2022,Apr 2022
00606000012yp7T,00106000021fPCVAA2,AE 8,8200,Closed Won,7/8/2022,8/24/2022,46,Inbound,136,consumer services,Corporate,Director of Sales 3,AMER,Aug 2022,Jul 2022
00606000012yes8,00106000021eMhtAAE,AE 4,10594.8,Closed Lost,6/25/2022,8/25/2022,61,Inbound,,Mobility & Transportation - Public Transport,,Director of Sales 2,EMEA,Aug 2022,Jun 2022
00606000012yyDl,00106000022AAbrAAG,AE 5,8829,Closed Lost,7/30/2022,8/26/2022,27,Inbound,,computer software,,Director of Sales 2,EMEA,Aug 2022,Jul 2022
00606000012yzd5,00106000022ATSxAAO,AE 5,1177.2,Closed Lost,8/4/2022,8/26/2022,22,Inbound,,food & beverages,,Director of Sales 2,EMEA,Aug 2022,Aug 2022
00606000012ywp5,001060000229y04AAA,Director of Sales 1,2000,Closed Lost,7/28/2022,8/30/2022,33,Inbound,,"health, wellness & fitness",,Director of Sales 1,APAC,Aug 2022,Jul 2022
00606000012yOvt,00106000020vmYXAAY,AE 4,20000,Closed Lost,6/10/2022,8/31/2022,82,Inbound,,Retail,,Director of Sales 2,EMEA,Aug 2022,Jun 2022
00606000012ybxA,00106000021dVMCAA2,Director of Sales 1,20000,Closed Lost,6/22/2022,8/31/2022,69,Inbound,,Financial Services - Banking,,Director of Sales 1,APAC,Aug 2022,Jun 2022
00606000012xStX,0010600001xGgT1AAK,AE 4,4000,Closed Lost,4/13/2022,9/1/2022,141,Inbound,,Financial Services,,Director of Sales 2,EMEA,Sep 2022,Apr 2022
00606000012yzRs,00106000022AQVjAAO,AE 8,,Closed Lost,8/3/2022,9/2/2022,30,Partner Referral,,Food & Beverage - Restaurants,,Director of Sales 3,AMER,Sep 2022,Aug 2022
00606000012yo1P,00106000021fKc0AAE,Director of Sales 1,4000,Closed Lost,7/8/2022,9/2/2022,56,Inbound,,staffing & recruiting,,Director of Sales 1,APAC,Sep 2022,Jul 2022
00606000012bXPn,0010600001z6aSFAAY,AE 4,10450,Closed Won,2/22/2022,9/2/2022,192,Inbound,1930,Other Consumer Goods,Corporate,Director of Sales 2,EMEA,Sep 2022,Feb 2022
00606000012wUgg,00106000020rIrRAAU,AE 1,2000,Closed Lost,8/16/2022,9/6/2022,21,Outbound,,Financial Services - Peer-to-peer lending,,Director of Sales 1,APAC,Sep 2022,Aug 2022
00606000012ya2m,00106000021dNT2AAM,AE 5,10550.7,Closed Lost,6/21/2022,9/13/2022,84,Inbound,,marketing and advertising,,Director of Sales 2,EMEA,Sep 2022,Jun 2022
00606000012xymN,00106000020twxSAAQ,AE 6,11723,Closed Lost,5/19/2022,9/13/2022,117,Inbound,,food & beverages,,Director of Sales 2,EMEA,Sep 2022,May 2022
